,lexical_richness,lexical_richness,lexical_richness,lexical_richness,semantic_richness,semantic_richness,semantic_richness,semantic_richness
,Analistas,Autores,IA,Pares,Analistas,Autores,IA,Pares
film_id,,,,,,,,
1080307,62.720000000000006,93.7876303076532,102.27011159631246,55.26162794432204,0.6252062916755676,0.576212465763092,0.7372928261756897,0.5681759119033813
1080308,78.49333333333335,54.93030319148936,126.64991928974979,67.0,0.6510278582572937,0.5638903379440308,0.7033368945121765,0.5363911390304565
1080401,82.89473684210529,68.0,142.20364741641336,51.30010160779391,0.5468635559082031,0.6105891466140747,0.7197830677032471,0.5438287258148193
1080402,42.66364158117512,94.0,120.0070741050734,36.32201834862386,0.6825780272483826,0.6653944849967957,0.7422987222671509,0.6852367520332336
1080403,25.38053097345133,48.81230769230769,103.40281263020859,37.766666666666666,0.49248266220092773,0.6071091890335083,0.688634991645813,0.4801553189754486
1080404,64.0,84.64,144.17374699622383,47.23351648351648,0.657235860824585,0.5518749952316284,0.7040753960609436,0.5855105519294739
1080405,129.02400000000006,69.61999999999999,137.07355383605207,,0.6438490748405457,0.5912352204322815,0.719059407711029,
1080406,51.71384615384616,58.83500000000002,143.10897435897436,58.03453298626393,0.4616185128688812,0.614495575428009,0.6788240671157837,0.46680372953414917
1080407,42.7796052631579,37.03,147.4704844521828,59.54700975540789,0.6299558281898499,0.4673098623752594,0.7432805299758911,0.5900904536247253
1080408,91.00000000000003,69.09307038422304,162.44495078388638,29.8,0.5721089839935303,0.6393668055534363,0.6944894790649414,0.587560772895813
1080409,87.80799999999999,39.40511627906976,139.70575147402383,45.9163907734057,0.6051837801933289,0.7494803071022034,0.6910852193832397,0.39665666222572327
1080410,98.58333333333333,54.99526359143327,162.30256766134627,64.25304916383755,0.6756201386451721,0.6707423329353333,0.7455668449401855,0.6539878249168396
1080411,58.538666666666664,20.160000000000007,,65.89830508474576,0.5902373194694519,,,0.5866858959197998
1080412,64.512,74.06,129.52499191009187,48.42146430195543,0.43951064348220825,0.6394320726394653,0.6898972988128662,0.5462022423744202
1080413,96.68615384615386,87.63776408450704,145.2937798917328,50.851745379876796,0.5665456056594849,0.6119931936264038,0.7121523022651672,0.625480055809021
1080414,71.5018181818182,50.79685610640871,119.68873184550128,48.26315789473685,0.6741282939910889,0.5133468508720398,0.7380721569061279,0.571406900882721
1080415,74.63581183611532,70.0,154.74190969579112,46.651416122004356,0.6818922758102417,0.5375410318374634,0.7300132513046265,0.613831639289856
1080416,105.87499999999997,34.03887795275591,141.83589924007882,54.88,0.5349514484405518,0.4914892911911011,0.7004609107971191,0.45478999614715576
1080417,67.2,42.401996370235935,120.19178168291799,50.19953996549741,0.6307470798492432,0.5560148358345032,0.6933841109275818,0.5661767721176147
1080418,70.98,68.04,143.46794614107307,70.53678285559377,0.43174099922180176,0.5843702554702759,0.7058155536651611,0.6361209750175476
1080419,65.11750000000002,78.64460523515642,142.4932000203954,72.33028157571721,0.6857359409332275,0.7144209146499634,0.734636127948761,0.6309488415718079
1080420,50.551369863013704,47.68666666666667,140.0218029287122,46.297812279463656,0.5728405714035034,0.6687817573547363,0.7211513519287109,0.5468117594718933
1080421,118.01591265131736,,170.17377032979408,,0.7066255807876587,,0.7002761960029602,
1080422,87.49999999999999,35.84,121.02589332654938,39.64019507186858,0.49016374349594116,0.6118586659431458,0.7120693325996399,0.5781993865966797
1080423,70.15414985085103,,165.76616442345988,,0.698366641998291,,0.7579531073570251,
1090101,54.208,57.34400000000001,115.39622886712428,93.62869788027021,0.5090650320053101,0.6091033816337585,0.7302260994911194,0.6142084002494812
1090102,48.87903225806453,48.07785714285715,102.63968396279279,68.09905616297542,0.5164257884025574,0.5749975442886353,0.6704028248786926,0.6026685833930969
1090103,63.028443113772454,64.0,97.44197812959032,47.692417892732145,0.6067095398902893,0.5936591029167175,0.6841269731521606,0.5074659585952759
1090104,79.41888823479943,44.969610003587356,71.7711147481929,66.52838164251207,0.6363477110862732,0.6668432950973511,0.7720674872398376,0.6494842767715454
1090105,54.76000000000002,56.75076923076924,81.5045621536979,79.85544167681775,0.4731738269329071,0.6664090752601624,0.6754524111747742,0.6248025298118591
1090106,58.83500000000002,81.0,89.91269265763208,109.76000000000008,0.531189501285553,0.5524122714996338,0.7186307311058044,0.6580695509910583
1090107,60.397333333333336,60.0,88.03125,46.794799870536195,0.6364641785621643,0.6791868209838867,0.705971360206604,0.5409235954284668
1090109,65.15384615384616,30.152676767676773,105.1875,60.17307692307693,0.6441136002540588,0.4808295965194702,0.6922245621681213,0.5066410899162292
1090110,126.00000000000004,141.9600000000001,81.07238332157576,54.201492537313435,0.5486182570457458,0.5628401637077332,0.6875141263008118,0.572666585445404
1090111,58.86735887686458,33.672661870503596,111.48907448526444,79.38000000000001,0.7179051041603088,0.5549452900886536,0.6993327736854553,0.6016851663589478
1090112,77.0,49.08267621221554,124.33796245919478,68.16568047337279,0.45613688230514526,0.362664133310318,0.739886462688446,0.5065962672233582
1090113,70.0,26.481343283582092,115.41843023058951,69.45750000000001,0.652675211429596,0.5294448733329773,0.6896877884864807,0.5887417793273926
1090114,97.56444444444445,70.00000000000001,117.48319894972386,44.04015602696187,0.45221439003944397,0.6833776831626892,0.6804453730583191,0.4449511766433716
